timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 08:00:00+00,ETHUSD,300.65,301.33,300.40,300.95,300.89,1085.27030309
2017-10-01 08:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20670.84496916
2017-10-01 08:15:00+00,BTCUSD,4324.00,4324.00,4300.00,4321.70,4312.00,316.76446166
2017-10-01 08:15:00+00,ETHUSD,300.95,300.95,299.79,300.47,300.19,1028.36359486
2017-10-01 08:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,29142.25059775
2017-10-01 08:30:00+00,BTCUSD,4321.60,4321.70,4305.00,4305.00,4314.38,203.15991718
2017-10-01 08:30:00+00,ETHUSD,300.39,300.52,299.67,299.72,300.00,606.69555192
2017-10-01 08:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1511.53416500
2017-10-01 08:45:00+00,BTCUSD,4305.40,4316.70,4305.00,4316.70,4309.08,95.72716144
2017-10-01 08:45:00+00,ETHUSD,299.71,300.36,299.52,300.11,299.87,930.51589202
2017-10-01 08:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7713.05181900
2017-10-01 09:00:00+00,BTCUSD,4316.30,4324.20,4310.00,4313.00,4316.37,233.49091524
2017-10-01 09:00:00+00,ETHUSD,300.11,300.48,299.72,300.07,300.10,547.53512549
2017-10-01 09:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,58005.11485632
2017-10-01 09:15:00+00,BTCUSD,4312.90,4322.40,4312.90,4320.40,4318.66,112.89652790
2017-10-01 09:15:00+00,ETHUSD,300.24,300.50,299.94,300.17,300.21,225.41316895
2017-10-01 09:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,5202.57089050
2017-10-01 09:30:00+00,BTCUSD,4320.80,4322.80,4315.00,4319.60,4318.56,179.67255496
2017-10-01 09:30:00+00,ETHUSD,300.17,300.67,299.54,299.92,299.92,1283.46752488
2017-10-01 09:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,4870.62513993
2017-10-01 09:45:00+00,BTCUSD,4319.60,4320.20,4315.00,4316.80,4317.13,62.86249144
2017-10-01 09:45:00+00,ETHUSD,299.99,300.17,299.63,300.17,300.01,476.81156484
2017-10-01 09:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12085.36329444
2017-10-01 10:00:00+00,BTCUSD,4316.80,4324.50,4315.00,4318.30,4319.07,95.60662097
2017-10-01 10:00:00+00,ETHUSD,300.17,300.26,299.61,299.66,299.92,944.93918528
2017-10-01 10:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,9508.21922078
2017-10-01 10:15:00+00,BTCUSD,4317.70,4334.00,4316.20,4333.00,4327.98,150.66171500
2017-10-01 10:15:00+00,ETHUSD,299.65,300.34,299.61,300.14,299.91,531.33617291
2017-10-01 10:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,3060.11566000
2017-10-01 10:30:00+00,BTCUSD,4332.90,4335.00,4324.00,4325.90,4328.51,115.94089807
2017-10-01 10:30:00+00,ETHUSD,300.19,300.38,299.72,300.01,300.10,401.68362605
2017-10-01 10:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,106094.30198978
2017-10-01 10:45:00+00,BTCUSD,4325.80,4326.00,4324.20,4326.00,4325.04,37.56716398
2017-10-01 10:45:00+00,ETHUSD,300.02,300.37,299.61,300.21,300.02,367.59944119
2017-10-01 10:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,61093.72919540
2017-10-01 11:00:00+00,BTCUSD,4325.90,4329.70,4324.70,4327.70,4327.05,51.03104547
2017-10-01 11:00:00+00,ETHUSD,300.21,300.26,299.66,300.02,300.13,426.66897529
2017-10-01 11:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6508.55915087
2017-10-01 11:15:00+00,BTCUSD,4328.80,4330.00,4324.00,4326.80,4327.10,88.77003692
2017-10-01 11:15:00+00,ETHUSD,300.03,300.60,299.64,300.09,300.06,239.42335737
2017-10-01 11:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20704.66773993
2017-10-01 11:30:00+00,BTCUSD,4326.60,4329.30,4319.40,4319.90,4324.62,180.28758523
2017-10-01 11:30:00+00,ETHUSD,299.95,300.25,299.52,299.52,299.93,1257.79408907
2017-10-01 11:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,48169.94553728
2017-10-01 11:45:00+00,BTCUSD,4319.50,4324.90,4311.10,4312.10,4319.64,305.28841511
2017-10-01 11:45:00+00,ETHUSD,299.53,299.96,299.41,299.41,299.68,466.17285633
2017-10-01 11:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16131.29938200
2017-10-01 12:00:00+00,BTCUSD,4312.10,4312.10,4287.40,4293.80,4297.69,629.00122303
2017-10-01 12:00:00+00,ETHUSD,299.41,299.42,297.10,297.69,298.55,3178.46216328
2017-10-01 12:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,145693.20220410
2017-10-01 12:15:00+00,BTCUSD,4294.60,4295.30,4277.10,4288.30,4286.31,459.27550359
2017-10-01 12:15:00+00,ETHUSD,297.69,297.86,296.00,296.81,296.92,2735.60220060
2017-10-01 12:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,177096.26464678
2017-10-01 12:30:00+00,BTCUSD,4288.40,4290.00,4269.60,4282.20,4277.75,508.49054265
2017-10-01 12:30:00+00,ETHUSD,296.98,297.61,296.21,296.59,296.66,2891.59525310
2017-10-01 12:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,5992.91259400
2017-10-01 12:45:00+00,BTCUSD,4282.20,4295.00,4282.20,4285.00,4287.27,563.24550534
2017-10-01 12:45:00+00,ETHUSD,296.69,297.62,296.60,297.10,297.22,436.65595807
2017-10-01 12:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,14705.62345985
2017-10-01 13:00:00+00,BTCUSD,4285.10,4290.90,4248.60,4256.90,4264.82,834.07054727
2017-10-01 13:00:00+00,ETHUSD,297.12,297.12,295.00,295.08,295.62,1582.79338369
2017-10-01 13:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,36450.53245575
2017-10-01 13:15:00+00,BTCUSD,4257.30,4282.00,4257.00,4259.90,4272.84,292.17025119
2017-10-01 13:15:00+00,ETHUSD,295.17,296.56,295.17,295.95,296.04,596.93546904
2017-10-01 13:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,47621.50872213
2017-10-01 13:30:00+00,BTCUSD,4260.70,4280.00,4260.70,4275.40,4271.53,162.77033874
2017-10-01 13:30:00+00,ETHUSD,295.94,296.46,295.00,296.30,295.59,2192.77144728
2017-10-01 13:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,47495.67874598
2017-10-01 13:45:00+00,BTCUSD,4275.60,4288.40,4274.50,4284.70,4282.39,213.60440759
2017-10-01 13:45:00+00,ETHUSD,296.40,297.15,296.16,297.14,296.60,382.50023778
